Account_id,Subscription_id,Account_name,Industry,Country,Signup_date,Start_date,End_date,Referral_source,Plan_tier_before,Upgrade_flag,Downgrade_flag,Plan_tier_after,Churn_flag,Seats,Is_trial,Auto_renewal,Mrr_amount,Arr_amount,Billing_frequency,Usage_count,Usage_duration_secs,Error_count,Total_tickets,Avg_satisfaction
A-ed510f,S-709b46,Company_361,Cybersecurity,IN,1/17/2023,3/9/2023,12/31/2024,Partner,Basic,TRUE,FALSE,Pro,FALSE,42,FALSE,FALSE,2058,24696,Annual,45,10557,4,9,4
A-7f4db3,S-0b7eba,Company_441,FinTech,US,3/5/2023,3/11/2023,12/31/2024,Other,Pro,TRUE,FALSE,Enterprise,FALSE,6,FALSE,FALSE,1592,19104,Monthly,74,27292,1,5,3.4
A-ad3abd,S-a959a3,Company_410,FinTech,US,3/3/2023,3/18/2023,12/31/2024,Event,Pro,TRUE,FALSE,Enterprise,FALSE,44,FALSE,FALSE,8756,105072,Monthly,19,6681,0,3,3.3
A-a7bd4b,S-9a8f71,Company_363,Cybersecurity,US,2/15/2023,3/19/2023,12/31/2024,Ads,Enterprise,FALSE,TRUE,Pro,FALSE,7,FALSE,TRUE,392,4704,Annual,66,19965,9,6,3.5
A-977ca0,S-627697,Company_232,HealthTech,IN,2/20/2023,3/20/2023,12/31/2024,Partner,Basic,FALSE,FALSE,Basic,FALSE,16,FALSE,TRUE,494,5928,Monthly,61,18150,2,3,4
A-e1b9cd,S-30fa6f,Company_484,DevTools,US,2/26/2023,3/21/2023,12/4/2024,Event,Pro,FALSE,FALSE,Pro,TRUE,40,FALSE,TRUE,1960,23520,Monthly,18,3564,0,1,3
A-f17767,S-d61866,Company_123,DevTools,US,1/30/2023,3/22/2023,12/31/2024,Event,Enterprise,FALSE,FALSE,Enterprise,FALSE,4,TRUE,TRUE,1194,14328,Monthly,48,10575,0,3,4
A-1e50e0,S-1d15a7,Company_415,Cybersecurity,DE,2/21/2023,3/23/2023,12/31/2024,Other,Pro,TRUE,FALSE,Enterprise,FALSE,19,TRUE,TRUE,3781,45372,Monthly,9,2331,4,2,4.5
A-f44180,S-f5c7b2,Company_376,Cybersecurity,UK,2/13/2023,3/25/2023,12/31/2024,Event,Pro,TRUE,FALSE,Enterprise,FALSE,9,FALSE,TRUE,1791,21492,Annual,7,1288,0,2,5
A-52dd88,S-5698bd,Company_127,Cybersecurity,US,2/21/2023,3/26/2023,12/31/2024,Ads,Pro,FALSE,FALSE,Pro,FALSE,25,FALSE,FALSE,1274,15288,Monthly,51,17832,8,1,4
A-7f8241,S-f1cc81,Company_42,EdTech,US,3/14/2023,3/27/2023,12/31/2024,Organic,Pro,FALSE,TRUE,Basic,FALSE,34,FALSE,TRUE,646,7752,Annual,44,14629,0,1,3
A-779e4e,S-9ae8de,Company_193,HealthTech,US,1/2/2023,3/27/2023,12/31/2024,Organic,Basic,TRUE,FALSE,Pro,FALSE,13,FALSE,TRUE,1029,12348,Monthly,24,7800,2,5,4
A-7f4db3,S-4d47e3,Company_441,FinTech,US,3/5/2023,3/28/2023,6/17/2024,Other,Pro,FALSE,FALSE,Pro,TRUE,4,FALSE,TRUE,196,2352,Monthly,70,28269,3,5,3.4
A-271f46,S-3e0c24,Company_84,DevTools,US,2/9/2023,3/29/2023,12/31/2024,Event,Pro,FALSE,TRUE,Basic,FALSE,38,FALSE,TRUE,722,8664,Annual,21,2802,0,1,4
A-432483,S-2e017b,Company_78,Cybersecurity,US,2/6/2023,4/2/2023,4/5/2023,Ads,Pro,FALSE,FALSE,Pro,TRUE,5,FALSE,TRUE,245,2940,Annual,42,18239,2,1,4
A-e1462e,S-302119,Company_217,FinTech,UK,3/12/2023,4/3/2023,12/31/2024,Partner,Basic,TRUE,FALSE,Enterprise,FALSE,15,FALSE,TRUE,2985,35820,Monthly,26,7593,0,2,3.5
A-e3bd71,S-a09141,Company_347,Cybersecurity,US,3/25/2023,4/3/2023,12/31/2024,Partner,Basic,TRUE,FALSE,Enterprise,FALSE,31,FALSE,FALSE,6169,74028,Annual,41,7836,3,4,4
A-977ca0,S-e31e0c,Company_232,HealthTech,IN,2/20/2023,4/4/2023,12/31/2024,Partner,Basic,TRUE,FALSE,Pro,FALSE,49,FALSE,TRUE,4508,54096,Monthly,74,18068,6,3,4
A-32728c,S-2ebd06,Company_54,DevTools,US,1/3/2023,4/4/2023,12/31/2024,Event,Pro,FALSE,FALSE,Pro,FALSE,20,FALSE,TRUE,980,11760,Monthly,69,20930,1,2,3.5
A-ff3c73,S-60890c,Company_244,HealthTech,AU,1/26/2023,4/6/2023,12/31/2024,Other,Pro,FALSE,FALSE,Pro,FALSE,21,FALSE,FALSE,1029,12348,Monthly,33,9453,2,2,3.5
A-9affe6,S-e0a991,Company_401,Cybersecurity,US,3/22/2023,4/6/2023,12/31/2024,Other,Pro,TRUE,FALSE,Enterprise,FALSE,7,FALSE,TRUE,1393,16716,Monthly,31,12147,0,3,3.6
A-ff3c73,S-eaac58,Company_244,HealthTech,AU,1/26/2023,4/8/2023,12/31/2024,Other,Pro,FALSE,TRUE,Basic,FALSE,44,FALSE,TRUE,1254,15048,Annual,36,15757,0,2,3.5
A-f44180,S-f42cc4,Company_376,Cybersecurity,UK,2/13/2023,4/10/2023,12/31/2024,Event,Pro,TRUE,FALSE,Enterprise,FALSE,12,FALSE,TRUE,2786,33432,Annual,74,21181,7,2,5
A-c4ea60,S-7af0d5,Company_18,FinTech,DE,3/9/2023,4/11/2023,12/31/2024,Other,Enterprise,FALSE,TRUE,Basic,FALSE,33,FALSE,FALSE,912,10944,Annual,42,12208,4,5,3.6
A-3b37d9,S-07aba0,Company_384,FinTech,US,1/27/2023,4/11/2023,12/31/2024,Event,Enterprise,FALSE,FALSE,Enterprise,FALSE,23,FALSE,TRUE,4577,54924,Annual,36,14454,1,5,4.2
A-7641d3,S-a9b904,Company_429,EdTech,US,2/16/2023,4/12/2023,12/31/2024,Partner,Pro,FALSE,TRUE,Basic,FALSE,8,TRUE,TRUE,152,1824,Monthly,58,12771,0,5,4.2
A-af0cd2,S-ad7716,Company_204,Cybersecurity,IN,1/3/2023,4/13/2023,12/31/2024,Other,Enterprise,FALSE,TRUE,Pro,FALSE,19,TRUE,FALSE,931,11172,Annual,53,17877,3,3,4
A-af0cd2,S-931899,Company_204,Cybersecurity,IN,1/3/2023,4/15/2023,12/31/2024,Other,Enterprise,FALSE,TRUE,Pro,FALSE,19,TRUE,TRUE,931,11172,Annual,49,22339,1,3,4
A-a1bbb6,S-68a558,Company_74,DevTools,CA,4/5/2023,4/17/2023,12/31/2024,Organic,Basic,TRUE,FALSE,Pro,FALSE,11,FALSE,TRUE,1029,12348,Monthly,22,7921,1,3,4
A-977ca0,S-5d0af1,Company_232,HealthTech,IN,2/20/2023,4/19/2023,12/31/2024,Partner,Basic,TRUE,FALSE,Pro,FALSE,12,FALSE,FALSE,833,9996,Monthly,87,31080,1,3,4
A-10b8f2,S-4a89a7,Company_151,HealthTech,DE,1/11/2023,4/19/2023,12/31/2024,Organic,Basic,FALSE,FALSE,Basic,FALSE,47,TRUE,FALSE,893,10716,Monthly,35,7056,1,3,4.3
A-de58ca,S-c64b73,Company_212,HealthTech,DE,4/13/2023,4/20/2023,12/31/2024,Organic,Enterprise,FALSE,TRUE,Pro,FALSE,15,FALSE,TRUE,735,8820,Annual,26,4468,1,5,3.6
A-ad3abd,S-83ee41,Company_410,FinTech,US,3/3/2023,4/20/2023,12/31/2024,Event,Pro,FALSE,TRUE,Basic,FALSE,44,FALSE,TRUE,836,10032,Annual,15,5777,0,3,3.3
A-cab532,S-9d8525,Company_218,DevTools,FR,4/3/2023,4/21/2023,12/31/2024,Organic,Pro,TRUE,FALSE,Enterprise,FALSE,11,TRUE,FALSE,2189,26268,Monthly,94,24091,2,1,4
A-d792a6,S-16cf6a,Company_486,DevTools,US,1/23/2023,4/21/2023,12/31/2024,Organic,Enterprise,FALSE,FALSE,Enterprise,FALSE,8,FALSE,TRUE,2388,28656,Annual,69,22116,3,5,4
A-f19409,S-d80516,Company_105,DevTools,US,3/16/2023,4/22/2023,12/31/2024,Other,Basic,TRUE,FALSE,Pro,FALSE,34,FALSE,TRUE,2156,25872,Annual,27,9859,1,3,4
A-7641d3,S-b3613a,Company_429,EdTech,US,2/16/2023,4/24/2023,12/31/2024,Partner,Pro,TRUE,FALSE,Enterprise,FALSE,8,TRUE,TRUE,1592,19104,Monthly,60,21710,5,5,4.2
A-6c093d,S-0ff481,Company_12,DevTools,US,4/14/2023,4/30/2023,12/31/2024,Partner,Basic,FALSE,FALSE,Basic,FALSE,11,TRUE,FALSE,285,3420,Annual,28,7328,3,3,4.3
A-ee42db,S-b15cde,Company_77,EdTech,DE,4/25/2023,5/1/2023,12/31/2024,Ads,Enterprise,FALSE,TRUE,Pro,FALSE,13,FALSE,TRUE,637,7644,Monthly,39,5971,4,4,3.7
A-f17767,S-93ab2d,Company_123,DevTools,US,1/30/2023,5/2/2023,12/31/2024,Event,Enterprise,FALSE,TRUE,Basic,FALSE,2,TRUE,TRUE,38,456,Annual,80,28785,3,3,4
A-151c9a,S-da9f05,Company_260,FinTech,US,1/27/2023,5/8/2023,12/31/2024,Ads,Enterprise,FALSE,TRUE,Pro,FALSE,23,FALSE,TRUE,1127,13524,Annual,69,18309,2,2,3.5
A-84ebe4,S-1cb993,Company_68,FinTech,US,3/12/2023,5/10/2023,12/31/2024,Ads,Pro,FALSE,TRUE,Basic,FALSE,18,TRUE,TRUE,342,4104,Annual,31,4248,3,4,4
A-ad3abd,S-1d081a,Company_410,FinTech,US,3/3/2023,5/10/2023,7/20/2024,Event,Pro,FALSE,FALSE,Pro,TRUE,44,FALSE,TRUE,2156,25872,Annual,63,19208,7,3,3.3
A-a1bbb6,S-cc4bf0,Company_74,DevTools,CA,4/5/2023,5/10/2023,12/31/2024,Organic,Basic,TRUE,FALSE,Enterprise,FALSE,15,FALSE,FALSE,5572,66864,Annual,52,18045,6,3,4
A-e888d1,S-6ca9be,Company_102,Cybersecurity,US,3/28/2023,5/11/2023,12/31/2024,Other,Pro,FALSE,TRUE,Basic,FALSE,34,FALSE,TRUE,1026,12312,Annual,51,17479,0,5,4
A-49b828,S-da0a69,Company_391,FinTech,IN,5/5/2023,5/11/2023,12/31/2024,Ads,Pro,FALSE,FALSE,Pro,FALSE,6,FALSE,TRUE,294,3528,Monthly,93,21277,6,3,3.7
A-e5d6ab,S-b57dcd,Company_7,EdTech,US,4/15/2023,5/11/2023,12/31/2024,Partner,Pro,FALSE,TRUE,Basic,FALSE,4,FALSE,TRUE,95,1140,Annual,54,14557,3,3,4
A-10b8da,S-b4212b,Company_9,DevTools,US,5/8/2023,5/12/2023,1/21/2024,Partner,Enterprise,FALSE,FALSE,Enterprise,TRUE,16,FALSE,TRUE,3383,40596,Monthly,74,23270,5,3,3.7
A-9208f0,S-eabdce,Company_79,EdTech,US,5/11/2023,5/15/2023,12/31/2024,Organic,Pro,TRUE,FALSE,Enterprise,FALSE,8,FALSE,TRUE,2786,33432,Annual,87,26666,4,8,3.7
A-49b828,S-dbee03,Company_391,FinTech,IN,5/5/2023,5/16/2023,12/31/2024,Ads,Pro,FALSE,TRUE,Basic,FALSE,8,FALSE,TRUE,171,2052,Monthly,49,14650,3,3,3.7
A-f44180,S-7da02b,Company_376,Cybersecurity,UK,2/13/2023,5/20/2023,12/19/2023,Event,Pro,TRUE,FALSE,Enterprise,TRUE,49,FALSE,TRUE,17711,212532,Annual,46,11854,2,2,5
A-32728c,S-a4f26d,Company_54,DevTools,US,1/3/2023,5/21/2023,12/31/2024,Event,Pro,FALSE,FALSE,Pro,FALSE,20,FALSE,TRUE,980,11760,Monthly,46,14024,1,2,3.5
A-e43bf7,S-12e3ff,Company_215,Cybersecurity,AU,3/24/2023,5/21/2023,12/31/2024,Other,Pro,TRUE,FALSE,Enterprise,FALSE,44,FALSE,FALSE,8756,105072,Monthly,35,12207,4,5,4
A-7f8241,S-c985c4,Company_42,EdTech,US,3/14/2023,5/22/2023,12/31/2024,Organic,Pro,FALSE,TRUE,Basic,FALSE,34,FALSE,FALSE,646,7752,Annual,70,16420,5,1,3
A-e1b9cd,S-302856,Company_484,DevTools,US,2/26/2023,5/24/2023,8/25/2024,Event,Pro,FALSE,TRUE,Basic,TRUE,40,FALSE,TRUE,760,9120,Annual,85,25021,6,1,3
A-e6afc1,S-98dd7d,Company_346,DevTools,US,2/24/2023,5/24/2023,12/31/2024,Ads,Pro,TRUE,FALSE,Enterprise,FALSE,26,FALSE,TRUE,10149,121788,Annual,30,17750,0,0,0
A-c7ffc2,S-432401,Company_392,Cybersecurity,US,1/27/2023,5/25/2023,12/31/2024,Partner,Pro,FALSE,FALSE,Pro,FALSE,81,TRUE,TRUE,6468,77616,Monthly,61,17630,6,2,3.5
A-cc98bc,S-576519,Company_469,DevTools,US,5/24/2023,5/27/2023,12/31/2024,Ads,Basic,TRUE,FALSE,Enterprise,FALSE,32,FALSE,TRUE,6368,76416,Monthly,56,13548,6,3,4
A-484819,S-709f67,Company_109,HealthTech,US,2/21/2023,5/27/2023,12/31/2024,Organic,Pro,TRUE,FALSE,Enterprise,FALSE,18,FALSE,TRUE,3582,42984,Annual,46,22037,0,5,4.2
A-cab532,S-e8f8c0,Company_218,DevTools,FR,4/3/2023,5/27/2023,12/31/2024,Organic,Pro,TRUE,FALSE,Enterprise,FALSE,18,TRUE,TRUE,4975,59700,Monthly,25,7293,0,1,4
A-e1b9cd,S-ed2593,Company_484,DevTools,US,2/26/2023,5/28/2023,12/31/2024,Event,Pro,FALSE,FALSE,Pro,FALSE,70,FALSE,FALSE,4900,58800,Monthly,54,17182,1,1,3
A-f446b6,S-19b415,Company_36,DevTools,DE,5/12/2023,5/28/2023,12/31/2024,Ads,Pro,FALSE,TRUE,Basic,FALSE,18,TRUE,TRUE,570,6840,Annual,21,10364,1,8,4.1
A-c4ea60,S-ebe172,Company_18,FinTech,DE,3/9/2023,5/29/2023,12/31/2024,Other,Enterprise,FALSE,TRUE,Basic,FALSE,18,FALSE,TRUE,342,4104,Monthly,34,14555,5,5,3.6
A-e6afc1,S-de473d,Company_346,DevTools,US,2/24/2023,5/31/2023,12/31/2024,Ads,Pro,FALSE,FALSE,Pro,FALSE,4,FALSE,TRUE,294,3528,Monthly,64,19676,1,0,0
A-d792a6,S-ea3c2c,Company_486,DevTools,US,1/23/2023,5/31/2023,12/31/2024,Organic,Enterprise,FALSE,FALSE,Enterprise,FALSE,7,FALSE,TRUE,1791,21492,Monthly,68,21004,7,5,4
A-158f4e,S-61c27e,Company_180,FinTech,IN,3/3/2023,6/2/2023,12/31/2024,Other,Enterprise,FALSE,TRUE,Basic,FALSE,61,FALSE,TRUE,1159,13908,Monthly,69,18044,8,5,4.2
A-484819,S-b27c39,Company_109,HealthTech,US,2/21/2023,6/2/2023,7/3/2024,Organic,Pro,FALSE,TRUE,Basic,TRUE,18,FALSE,TRUE,342,4104,Monthly,0,0,0,5,4.2
A-b7724f,S-b41494,Company_320,HealthTech,UK,3/28/2023,6/3/2023,12/31/2024,Organic,Basic,FALSE,FALSE,Basic,FALSE,17,FALSE,TRUE,627,7524,Monthly,38,5642,0,3,3.3
A-40de06,S-42af3d,Company_369,Cybersecurity,US,5/8/2023,6/3/2023,12/31/2024,Event,Enterprise,FALSE,FALSE,Enterprise,FALSE,28,FALSE,TRUE,5572,66864,Annual,111,33672,2,3,4
A-94d3da,S-41b844,Company_61,HealthTech,US,5/3/2023,6/3/2023,12/31/2024,Other,Basic,TRUE,FALSE,Pro,FALSE,41,FALSE,FALSE,2009,24108,Monthly,18,6084,0,6,3.7
A-089363,S-85caaf,Company_387,FinTech,AU,5/6/2023,6/3/2023,12/31/2024,Event,Basic,TRUE,FALSE,Pro,FALSE,2,FALSE,TRUE,98,1176,Annual,58,13733,1,3,3.7
A-e6afc1,S-e66964,Company_346,DevTools,US,2/24/2023,6/3/2023,12/31/2024,Ads,Pro,FALSE,TRUE,Basic,FALSE,26,FALSE,FALSE,969,11628,Monthly,58,22830,3,0,0
A-94d3da,S-32e8fa,Company_61,HealthTech,US,5/3/2023,6/4/2023,10/21/2023,Other,Basic,TRUE,FALSE,Pro,TRUE,41,FALSE,TRUE,2009,24108,Annual,46,16369,3,6,3.7
A-94d3da,S-5480a7,Company_61,HealthTech,US,5/3/2023,6/5/2023,12/31/2024,Other,Basic,TRUE,FALSE,Enterprise,FALSE,41,FALSE,TRUE,8159,97908,Annual,45,12504,4,6,3.7
A-7c4956,S-b84a07,Company_254,DevTools,US,5/6/2023,6/5/2023,12/31/2024,Ads,Enterprise,FALSE,TRUE,Pro,FALSE,7,FALSE,TRUE,441,5292,Annual,73,26561,4,3,4
A-7c4956,S-a9a5a1,Company_254,DevTools,US,5/6/2023,6/5/2023,12/31/2024,Ads,Enterprise,FALSE,TRUE,Basic,FALSE,7,FALSE,FALSE,171,2052,Monthly,6,48,3,3,4
A-7f8241,S-2e4018,Company_42,EdTech,US,3/14/2023,6/6/2023,12/31/2024,Organic,Pro,TRUE,FALSE,Enterprise,FALSE,34,FALSE,TRUE,6766,81192,Monthly,13,3770,0,1,3
A-9affe6,S-e7f571,Company_401,Cybersecurity,US,3/22/2023,6/6/2023,12/11/2024,Other,Pro,FALSE,TRUE,Basic,TRUE,7,FALSE,TRUE,133,1596,Monthly,37,8093,5,3,3.6
A-a1bbb6,S-9a08ff,Company_74,DevTools,CA,4/5/2023,6/7/2023,12/31/2024,Organic,Basic,TRUE,FALSE,Enterprise,FALSE,9,FALSE,FALSE,3184,38208,Annual,43,13622,4,3,4
A-019782,S-b37d03,Company_142,DevTools,FR,4/19/2023,6/8/2023,12/31/2024,Event,Enterprise,FALSE,TRUE,Pro,FALSE,14,FALSE,TRUE,833,9996,Annual,48,8231,0,2,3.5
A-10b8da,S-bfca66,Company_9,DevTools,US,5/8/2023,6/9/2023,12/31/2024,Partner,Enterprise,FALSE,TRUE,Basic,FALSE,14,FALSE,FALSE,266,3192,Annual,64,19244,0,3,3.7
A-05f0e5,S-22365f,Company_40,FinTech,US,5/4/2023,6/11/2023,12/31/2024,Partner,Basic,TRUE,FALSE,Enterprise,FALSE,32,FALSE,TRUE,6368,76416,Annual,81,24923,9,4,4
A-6e7827,S-49e3e5,Company_372,DevTools,US,3/26/2023,6/11/2023,12/31/2024,Other,Basic,FALSE,FALSE,Basic,FALSE,5,FALSE,TRUE,171,2052,Monthly,15,4346,0,2,3.5
A-558c72,S-4781b1,Company_438,FinTech,US,6/1/2023,6/12/2023,12/31/2024,Organic,Basic,TRUE,FALSE,Pro,FALSE,14,FALSE,TRUE,784,9408,Monthly,87,26112,5,4,4.2
A-bad8c1,S-371662,Company_34,FinTech,AU,3/1/2023,6/12/2023,12/31/2024,Organic,Basic,TRUE,FALSE,Pro,FALSE,31,FALSE,TRUE,2646,31752,Monthly,44,16550,2,1,4
A-2ebb4b,S-b9fc6c,Company_334,HealthTech,US,5/15/2023,6/16/2023,12/31/2024,Ads,Basic,FALSE,FALSE,Basic,FALSE,41,FALSE,TRUE,779,9348,Annual,44,11312,6,2,3
A-bcf664,S-7179fd,Company_248,DevTools,US,5/19/2023,6/16/2023,12/31/2024,Other,Pro,FALSE,TRUE,Basic,FALSE,32,FALSE,TRUE,1121,13452,Monthly,55,16828,1,5,4
A-10b8f2,S-49a9aa,Company_151,HealthTech,DE,1/11/2023,6/16/2023,12/31/2024,Organic,Basic,FALSE,FALSE,Basic,FALSE,49,TRUE,TRUE,969,11628,Annual,21,1995,2,3,4.3
A-158f4e,S-f3ff07,Company_180,FinTech,IN,3/3/2023,6/19/2023,5/15/2024,Other,Enterprise,FALSE,TRUE,Basic,TRUE,61,FALSE,FALSE,1159,13908,Annual,27,4910,6,5,4.2
A-19b2c8,S-36f8c0,Company_476,DevTools,IN,6/6/2023,6/19/2023,12/31/2024,Other,Pro,FALSE,FALSE,Pro,FALSE,27,FALSE,TRUE,1617,19404,Annual,8,160,0,3,4.7
A-32728c,S-2c091a,Company_54,DevTools,US,1/3/2023,6/20/2023,12/31/2024,Event,Pro,FALSE,FALSE,Pro,FALSE,20,FALSE,TRUE,980,11760,Annual,70,22296,10,2,3.5
A-425e76,S-12ca50,Company_110,DevTools,UK,5/17/2023,6/21/2023,12/31/2024,Other,Enterprise,FALSE,FALSE,Enterprise,FALSE,8,FALSE,TRUE,1592,19104,Monthly,40,8444,2,5,3.6
A-84ebe4,S-7f0419,Company_68,FinTech,US,3/12/2023,6/22/2023,12/31/2024,Ads,Pro,TRUE,FALSE,Enterprise,FALSE,18,TRUE,TRUE,3582,42984,Annual,31,11496,2,4,4
A-40de06,S-00fcc5,Company_369,Cybersecurity,US,5/8/2023,6/23/2023,12/31/2024,Event,Enterprise,FALSE,TRUE,Basic,FALSE,45,FALSE,FALSE,1178,14136,Annual,89,36084,2,3,4
A-9ee962,S-ffce65,Company_59,HealthTech,US,2/28/2023,6/23/2023,12/31/2024,Ads,Basic,TRUE,FALSE,Pro,FALSE,9,FALSE,TRUE,441,5292,Annual,102,28034,0,3,4
A-7df7a7,S-61afee,Company_125,DevTools,US,1/28/2023,6/26/2023,12/31/2024,Organic,Basic,TRUE,FALSE,Enterprise,FALSE,26,FALSE,FALSE,8955,107460,Monthly,40,13748,0,3,4
A-425e76,S-6d356a,Company_110,DevTools,UK,5/17/2023,6/26/2023,12/31/2024,Other,Enterprise,FALSE,TRUE,Basic,FALSE,18,FALSE,FALSE,532,6384,Annual,63,25416,3,5,3.6
A-ff3c73,S-140d3a,Company_244,HealthTech,AU,1/26/2023,6/26/2023,12/31/2024,Other,Pro,FALSE,TRUE,Basic,FALSE,21,FALSE,TRUE,399,4788,Annual,73,31427,2,2,3.5
A-cc98bc,S-0e057d,Company_469,DevTools,US,5/24/2023,6/27/2023,12/31/2024,Ads,Basic,TRUE,FALSE,Pro,FALSE,45,FALSE,TRUE,2793,33516,Annual,49,15025,0,3,4
A-bb2f49,S-979365,Company_356,Cybersecurity,US,5/28/2023,6/29/2023,12/31/2024,Other,Pro,FALSE,FALSE,Pro,FALSE,38,FALSE,TRUE,3332,39984,Monthly,90,30265,9,3,4
A-c608c8,S-cfb108,Company_199,DevTools,DE,4/27/2023,6/30/2023,12/31/2024,Ads,Pro,TRUE,FALSE,Enterprise,FALSE,3,FALSE,TRUE,597,7164,Annual,18,5832,1,2,3.5
A-05f0e5,S-62af97,Company_40,FinTech,US,5/4/2023,6/30/2023,12/31/2024,Partner,Basic,TRUE,FALSE,Pro,FALSE,39,FALSE,FALSE,2254,27048,Annual,52,15123,1,4,4
A-271f46,S-47e122,Company_84,DevTools,US,2/9/2023,7/1/2023,12/31/2024,Event,Pro,FALSE,TRUE,Basic,FALSE,38,FALSE,TRUE,722,8664,Monthly,54,16956,1,1,4
A-32728c,S-8b349c,Company_54,DevTools,US,1/3/2023,7/1/2023,4/7/2024,Event,Pro,FALSE,TRUE,Basic,TRUE,20,FALSE,TRUE,380,4560,Annual,48,13496,3,2,3.5
A-f1f639,S-07c2c2,Company_296,EdTech,US,2/26/2023,7/3/2023,12/31/2024,Ads,Basic,FALSE,FALSE,Basic,FALSE,4,FALSE,TRUE,95,1140,Monthly,46,11743,0,7,4.6
A-4a4c2d,S-e133a5,Company_473,DevTools,US,5/2/2023,7/3/2023,1/25/2024,Event,Enterprise,FALSE,TRUE,Basic,TRUE,54,FALSE,TRUE,1026,12312,Monthly,33,9328,5,5,4.2
A-39b19f,S-813cdc,Company_176,FinTech,US,2/3/2023,7/4/2023,12/31/2024,Partner,Enterprise,FALSE,TRUE,Pro,FALSE,11,FALSE,TRUE,980,11760,Annual,70,16760,3,6,4.2
A-4a4c2d,S-ce6528,Company_473,DevTools,US,5/2/2023,7/4/2023,12/31/2024,Event,Enterprise,FALSE,TRUE,Basic,FALSE,54,FALSE,TRUE,1026,12312,Annual,53,16770,0,5,4.2
A-9289f6,S-ae20d8,Company_104,EdTech,US,5/31/2023,7/4/2023,7/9/2023,Event,Enterprise,FALSE,TRUE,Basic,TRUE,7,FALSE,TRUE,228,2736,Annual,33,10091,0,6,4.2
A-417d2f,S-65c079,Company_285,Cybersecurity,IN,7/4/2023,7/4/2023,12/31/2024,Partner,Pro,FALSE,TRUE,Basic,FALSE,5,TRUE,TRUE,95,1140,Annual,55,13119,2,6,4.2
A-e43bf7,S-863c87,Company_215,Cybersecurity,AU,3/24/2023,7/5/2023,12/31/2024,Other,Pro,TRUE,FALSE,Enterprise,FALSE,57,FALSE,TRUE,13930,167160,Annual,74,18503,7,5,4
